자치구별,각세별,성별,항목,단위,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년
합계,73세,남자,주민등록인구(내국인 각세별/구별),,28927,31763,38437,36746,35957,35352,31207
합계,73세,여자,주민등록인구(내국인 각세별/구별),,33703,38064,46329,43312,43129,41952,37079
합계,74세,합계,주민등록인구(내국인 각세별/구별),,63177,61120,68193,81356,77691,77477,75705
합계,74세,남자,주민등록인구(내국인 각세별/구별),,29069,27992,30807,36747,35357,34950,34428
합계,74세,여자,주민등록인구(내국인 각세별/구별),,34108,33128,37386,44609,42334,42527,41277
합계,75세,합계,주민등록인구(내국인 각세별/구별),,61641,61736,59529,65393,78998,76056,75830
합계,75세,남자,주민등록인구(내국인 각세별/구별),,28128,28184,27033,29447,35399,34378,33927
합계,75세,여자,주민등록인구(내국인 각세별/구별),,33513,33552,32496,35946,43599,41678,41903
합계,76세,합계,주민등록인구(내국인 각세별/구별),,72519,59938,59974,56989,63299,77140,74253
합계,76세,남자,주민등록인구(내국인 각세별/구별),,33484,27100,27104,25731,28257,34301,33302
합계,76세,여자,주민등록인구(내국인 각세별/구별),,39035,32838,32870,31258,35042,42839,40951
합계,77세,합계,주민등록인구(내국인 각세별/구별),,57783,70345,58114,57143,54985,61726,75184
합계,77세,남자,주민등록인구(내국인 각세별/구별),,26201,32181,26034,25593,24598,27345,33141
합계,77세,여자,주민등록인구(내국인 각세별/구별),,31582,38164,32080,31550,30387,34381,42043
합계,78세,합계,주민등록인구(내국인 각세별/구별),,48945,56062,67961,55201,54982,53348,59990
합계,78세,남자,주민등록인구(내국인 각세별/구별),,21648,25221,30754,24496,24388,23567,26384
합계,78세,여자,주민등록인구(내국인 각세별/구별),,27297,30841,37207,30705,30594,29781,33606
합계,79세,합계,주민등록인구(내국인 각세별/구별),,47719,47216,53952,64505,52751,53151,51733
합계,79세,남자,주민등록인구(내국인 각세별/구별),,20774,20707,24001,28857,23169,23376,22623
합계,79세,여자,주민등록인구(내국인 각세별/구별),,26945,26509,29951,35648,29582,29775,29110
합계,80세,합계,주민등록인구(내국인 각세별/구별),,41292,45815,45303,50879,61301,50902,51195
합계,80세,남자,주민등록인구(내국인 각세별/구별),,17521,19728,19614,22376,27069,22085,22277
합계,80세,여자,주민등록인구(내국인 각세별/구별),,23771,26087,25689,28503,34232,28817,28918
합계,81세,합계,주민등록인구(내국인 각세별/구별),,36763,39499,43763,42441,48198,58700,48823
합계,81세,남자,주민등록인구(내국인 각세별/구별),,14988,16558,18594,18054,20913,25598,20916
합계,81세,여자,주민등록인구(내국인 각세별/구별),,21775,22941,25169,24387,27285,33102,27907
합계,82세,합계,주민등록인구(내국인 각세별/구별),,32399,34909,37489,40784,39920,45877,55954
합계,82세,남자,주민등록인구(내국인 각세별/구별),,12847,14035,15527,17011,16686,19635,24056
합계,82세,여자,주민등록인구(내국인 각세별/구별),,19552,20874,21962,23773,23234,26242,31898
